,Age,WorkClass,fnlwgt,Edu_num,Marital_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,hpweek,Native_Country,Income
29534,43,State-gov,424094,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
32054,23,Private,335067,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,0
6611,66,Local-gov,75134,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,25,United-States,0
4517,47,Private,197836,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0
45627,73,Local-gov,249043,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,OtherCountry,0
3660,55,Private,234213,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,0
8369,26,Private,35917,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
19305,37,Local-gov,239161,10,Separated,Protective-serv,Own-child,OtherRace,Male,0,0,52,United-States,0
5826,24,Private,220426,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
30693,70,Private,133536,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,28,United-States,0
40758,67,State-gov,121395,13,Married-civ-spouse,Prof-specialty,Husband,OtherRace,Male,0,0,12,United-States,0
43822,46,Local-gov,190961,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
30500,30,Private,333119,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
48030,24,Private,200295,10,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,0
10877,31,Private,98639,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
34428,31,Private,243678,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
28962,50,Private,182907,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,0
40746,36,Private,348960,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
39546,54,Private,320012,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
12888,33,Self-emp-not-inc,203784,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,62,United-States,0
48197,23,Private,244413,8,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,30,OtherCountry,0
10985,26,Private,199600,9,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,0
38992,24,Private,266971,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
29505,41,Private,206470,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,OtherCountry,0
6959,69,Private,165017,9,Widowed,Machine-op-inspct,Unmarried,White,Male,2538,0,40,United-States,0
15991,28,Private,192588,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
21997,34,Private,169564,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0
29443,56,Private,271795,7,Divorced,Craft-repair,Not-in-family,White,Male,0,0,49,United-States,0
8906,46,Self-emp-not-inc,182541,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1672,50,United-States,0
46073,35,Private,237091,9,Married-civ-spouse,Priv-house-serv,Other-relative,White,Female,0,0,20,OtherCountry,0
8784,30,Private,109117,11,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,45,United-States,0
20722,32,Self-emp-inc,343872,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,35,OtherCountry,0
35758,26,Local-gov,189027,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
40699,20,Self-emp-not-inc,105997,10,Never-married,Sales,Not-in-family,White,Female,0,0,25,United-States,0
2099,61,Self-emp-not-inc,115023,14,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,United-States,0
40318,51,Local-gov,106365,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
12551,26,Private,166051,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
20430,17,Private,53367,5,Never-married,Other-service,Own-child,White,Female,0,0,35,United-States,0
40781,33,State-gov,292317,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
46700,41,Private,163287,13,Divorced,Transport-moving,Not-in-family,White,Male,0,0,48,United-States,0
34980,54,Private,338089,14,Separated,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
46339,36,Private,284582,10,Separated,Sales,Unmarried,White,Female,0,0,40,United-States,0
15041,37,Private,162494,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
37276,30,Private,184290,13,Never-married,Sales,Not-in-family,White,Male,0,0,55,United-States,0
19197,40,Private,184857,9,Separated,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
28670,32,Private,191777,14,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,0
14244,41,Private,76625,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
45643,63,State-gov,266565,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,27,United-States,0
48317,62,State-gov,254890,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
8514,21,Private,107882,12,Never-married,Other-service,Own-child,White,Female,0,0,9,United-States,0
9825,38,Local-gov,84570,10,Never-married,Adm-clerical,Own-child,OtherRace,Female,0,0,40,United-States,0
38288,29,Private,129528,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
16995,37,Private,136028,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
20887,24,Private,122166,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,OtherCountry,0
46664,41,Private,167375,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,52,United-States,0
42786,21,Private,131404,9,Never-married,Other-service,Other-relative,White,Male,0,0,25,United-States,0
9756,36,Private,732569,5,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
19447,48,Local-gov,81154,11,Never-married,Protective-serv,Unmarried,White,Male,0,0,48,United-States,0
31197,60,Self-emp-inc,142494,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
25289,33,Private,181388,9,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,0
15115,35,Private,257042,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
25220,29,Private,241895,9,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,United-States,0
34425,30,Private,100734,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
34379,42,State-gov,218948,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,36,OtherCountry,0
28797,45,Private,166056,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
33685,53,Private,295896,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
4062,18,Private,263024,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
21890,25,Private,281627,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
1222,53,Private,22154,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
1152,24,Private,35633,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
17681,22,Private,124454,10,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,0
21632,35,State-gov,225385,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
28438,47,Federal-gov,160646,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,0
18502,25,Private,248990,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,OtherCountry,0
20209,45,State-gov,90803,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
12716,28,Private,224506,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,0
8439,37,Private,155064,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
34328,54,Federal-gov,149596,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States,0
10258,35,Self-emp-inc,202027,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,0
26617,33,Self-emp-not-inc,361817,9,Separated,Craft-repair,Unmarried,White,Male,0,0,50,United-States,0
23851,25,Private,367306,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,0
11914,57,Private,223214,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
4921,26,Private,143068,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,2407,0,50,United-States,0
19209,21,Private,253612,10,Never-married,Prof-specialty,Own-child,White,Female,1055,0,32,United-States,0
38184,73,Private,86709,10,Never-married,Prof-specialty,Not-in-family,OtherRace,Male,0,0,38,United-States,0
27274,39,State-gov,152023,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
14768,32,Local-gov,198211,11,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
29617,27,Self-emp-not-inc,65308,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,0
15189,19,Private,146679,10,Never-married,Exec-managerial,Own-child,Black,Male,0,0,30,United-States,0
15807,24,Private,224716,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
113,28,Private,377869,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,0
45953,30,Private,147171,10,Married-civ-spouse,Other-service,Wife,OtherRace,Female,0,0,40,OtherCountry,0
2447,29,Private,32897,9,Divorced,Other-service,Not-in-family,White,Female,0,0,25,United-States,0
7871,28,Private,299422,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,OtherCountry,0
42866,56,Private,176613,13,Divorced,Prof-specialty,Not-in-family,OtherRace,Female,0,0,40,OtherCountry,0
9724,26,Private,176520,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,53,United-States,0
25758,58,Private,225394,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1902,40,United-States,0
37870,22,Self-emp-inc,437161,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
46990,47,Private,162859,9,Divorced,Other-service,Own-child,Black,Female,0,0,40,United-States,0
17222,50,Private,228057,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
8940,27,Private,188711,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,30,United-States,0
39558,35,Private,304001,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
41917,31,Private,437825,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,OtherCountry,0
17906,41,Private,167725,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
1244,38,Local-gov,165799,10,Never-married,Other-service,Not-in-family,White,Male,0,0,12,United-States,0
26159,61,Private,105384,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
28722,36,Private,605502,6,Never-married,Transport-moving,Not-in-family,Black,Female,0,0,40,United-States,0
2544,19,Private,192773,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,35,United-States,0
26398,35,Private,218955,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
43617,32,Private,107142,11,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,50,United-States,0
7639,19,Private,91928,10,Never-married,Other-service,Other-relative,White,Female,0,0,35,United-States,0
23315,22,Private,165065,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,OtherCountry,0
4508,25,Private,218136,10,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,OtherCountry,0
28689,34,Self-emp-inc,200689,13,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,0
29022,38,Self-emp-not-inc,192939,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
12180,26,Private,174921,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
44837,25,Private,227548,8,Married-civ-spouse,Other-service,Husband,Black,Male,3103,0,40,United-States,0
35610,28,Private,198493,12,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
4792,32,Private,238944,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
40270,17,Local-gov,161955,7,Never-married,Adm-clerical,Own-child,OtherRace,Female,0,0,30,United-States,0
11095,50,Private,121411,8,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
10568,39,Local-gov,177728,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
47068,38,Private,108293,11,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
8062,48,Self-emp-not-inc,100931,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
21379,26,Private,195555,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
2717,42,Private,153132,13,Divorced,Sales,Unmarried,White,Male,0,0,45,United-States,0
21644,52,State-gov,254285,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
23642,50,State-gov,45961,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,6849,0,40,United-States,0
599,49,Private,136455,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,0
34525,26,Private,122920,9,Never-married,Craft-repair,Own-child,White,Male,0,0,56,United-States,0
15298,49,Private,195554,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,0
14636,41,Local-gov,248406,9,Separated,Transport-moving,Own-child,White,Male,0,0,40,United-States,0
786,61,Self-emp-not-inc,36671,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2352,50,United-States,0
37824,38,Private,216572,9,Separated,Priv-house-serv,Unmarried,Black,Female,0,0,40,United-States,0
18793,35,Self-emp-not-inc,157473,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
10674,37,Private,188576,16,Married-civ-spouse,Prof-specialty,Husband,OtherRace,Male,0,0,40,United-States,0
17568,52,Private,126978,9,Married-civ-spouse,Machine-op-inspct,Wife,OtherRace,Female,0,0,40,OtherCountry,0
1775,31,Private,288419,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
2979,40,State-gov,141583,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,0
32243,33,Private,198069,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,65,United-States,0
31685,60,Private,389254,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
3507,25,Local-gov,112835,14,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,0
6553,43,Local-gov,260696,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,55,United-States,0
19977,49,Private,261688,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,60,United-States,0
44805,76,Private,82628,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States,0
9549,69,Private,476653,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,United-States,0
43062,53,Private,201127,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
16389,38,Private,102938,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
41492,52,Private,161599,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0
7370,42,Private,166740,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
